Time,Voltage(V),Current(A),Power(W),Leakage Current(mA),total_forward_energy(kWh),price(DZD)
2025-08-12 23:04:04,425.04,20.48,25.2,0,16.8,88.53719999999998
2025-08-12 23:04:14,425.04,23.04,3.6,0,16.8,88.53719999999998
2025-08-12 23:04:24,432.72,23.04,2.6,0,16.8,88.53719999999998
2025-08-12 23:04:34,427.6,20.48,16.2,0,16.8,88.53719999999998
2025-08-12 23:04:44,419.92,20.48,13.2,0,16.8,88.53719999999998
2025-08-12 23:04:54,432.72,20.48,2.2,0,16.8,88.53719999999998
2025-08-12 23:05:05,422.48,17.92,22.8,0,16.81,88.53719999999998
2025-08-12 23:05:15,422.48,17.92,22.8,0,16.81,88.53719999999998
2025-08-12 23:05:25,417.36,20.48,4.2,0,16.81,88.53719999999998
2025-08-12 23:05:35,412.24,17.92,22.8,0,16.81,88.53719999999998
2025-08-12 23:05:45,417.36,17.92,23.8,0,16.81,88.53719999999998
2025-08-12 23:05:55,422.48,17.92,24.8,0,16.81,88.53719999999998
2025-08-12 23:06:05,414.8,17.92,22.8,0,16.81,88.53719999999998
2025-08-12 23:06:15,425.04,17.92,24.8,0,16.81,88.53719999999998
2025-08-12 23:06:26,414.8,20.48,11.2,0,16.81,88.53719999999998
2025-08-12 23:06:36,414.8,20.48,10.2,0,16.82,88.53719999999998
2025-08-12 23:06:46,425.04,17.92,23.8,0,16.82,88.53719999999998
2025-08-12 23:06:56,430.16,20.48,5.2,0,16.82,88.53719999999998
2025-08-12 23:07:06,435.28,20.48,7.2,0,16.82,88.53719999999998
2025-08-12 23:07:16,440.4,20.48,1.2,0,16.82,88.53719999999998
2025-08-12 23:07:26,412.24,20.48,7.2,0,16.82,88.53719999999998
2025-08-12 23:07:37,414.8,20.48,18.2,0,16.82,88.53719999999998
2025-08-12 23:07:47,425.04,20.48,3.2,0,16.82,88.53719999999998
2025-08-12 23:07:57,414.8,20.48,3.2,0,16.82,88.53719999999998
2025-08-12 23:08:07,417.36,17.92,23.8,0,16.82,88.53719999999998
2025-08-12 23:08:17,396.88,20.48,3.2,0,16.83,88.53719999999998
2025-08-12 23:08:27,407.12,17.92,22.8,0,16.83,88.53719999999998
2025-08-12 23:08:37,407.12,17.92,22.8,0,16.83,88.53719999999998
2025-08-12 23:08:47,412.24,15.36,6.4,0,16.83,88.53719999999998
2025-08-12 23:08:57,412.24,15.36,7.4,0,16.83,88.53719999999998
2025-08-12 23:09:08,425.04,15.36,10.4,0,16.83,88.53719999999998
2025-08-12 23:09:18,407.12,15.36,10.4,0,16.83,88.53719999999998
2025-08-12 23:09:28,437.84,15.36,6.4,0,16.83,88.53719999999998
2025-08-12 23:09:38,437.84,15.36,6.4,0,16.83,88.53719999999998
2025-08-12 23:09:48,402.0,17.92,1.8,0,16.83,88.53719999999998
2025-08-12 23:09:58,407.12,17.92,2.8,0,16.83,88.53719999999998
2025-08-12 23:10:08,407.12,17.92,0.8,0,16.83,88.53719999999998
2025-08-12 23:10:18,425.04,15.36,8.4,0,16.84,88.53719999999998
2025-08-12 23:10:28,430.16,15.36,6.4,0,16.84,88.53719999999998
2025-08-12 23:10:39,430.16,15.36,6.4,0,16.84,88.53719999999998
2025-08-12 23:10:49,419.92,15.36,24.4,0,16.84,88.53719999999998
2025-08-12 23:11:26,417.36,17.92,18.8,0,16.84,88.53719999999998
2025-08-12 23:11:36,427.6,17.92,7.8,0,16.84,88.53719999999998
2025-08-12 23:11:46,425.04,17.92,7.8,0,16.84,88.53719999999998
2025-08-12 23:11:56,425.04,17.92,0.8,0,16.84,88.53719999999998
2025-08-12 23:12:07,417.36,17.92,17.8,0,16.84,88.53719999999998
2025-08-12 23:12:17,422.48,17.92,1.8,0,16.84,88.53719999999998
2025-08-12 23:12:27,414.8,15.36,21.4,0,16.84,88.53719999999998
2025-08-12 23:12:37,435.28,15.36,18.4,0,16.85,88.53719999999998
2025-08-12 23:12:47,425.04,17.92,10.8,0,16.85,88.53719999999998
2025-08-12 23:12:57,407.12,17.92,23.8,0,16.85,88.53719999999998
2025-08-12 23:13:07,419.92,17.92,18.8,0,16.85,88.53719999999998
2025-08-12 23:13:17,419.92,15.36,6.4,0,16.85,88.53719999999998
2025-08-12 23:13:28,427.6,12.8,23.0,0,16.85,88.53719999999998
2025-08-12 23:13:38,409.68,15.36,9.4,0,16.85,88.53719999999998
2025-08-12 23:13:48,417.36,15.36,9.4,0,16.85,88.53719999999998
2025-08-12 23:13:58,404.56,15.36,7.4,0,16.85,88.53719999999998
2025-08-12 23:14:08,389.2,15.36,10.4,0,16.85,88.53719999999998
2025-08-12 23:14:19,407.12,15.36,8.4,0,16.85,88.53719999999998
2025-08-12 23:14:29,440.4,15.36,9.4,0,16.85,88.53719999999998
2025-08-12 23:14:39,432.72,15.36,10.4,0,16.85,88.53719999999998
2025-08-12 23:14:49,432.72,15.36,7.4,0,16.85,88.53719999999998
2025-08-12 23:14:59,440.4,15.36,7.4,0,16.85,88.53719999999998
2025-08-12 23:15:09,445.52,15.36,2.4,0,16.86,88.53719999999998
2025-08-12 23:15:19,432.72,15.36,5.4,0,16.86,88.53719999999998
2025-08-12 23:15:29,422.48,15.36,10.4,0,16.86,88.53719999999998
2025-08-12 23:15:39,440.4,15.36,5.4,0,16.86,88.53719999999998
2025-08-12 23:15:49,430.16,15.36,7.4,0,16.86,88.53719999999998
2025-08-12 23:16:00,432.72,15.36,4.4,0,16.86,88.53719999999998
2025-08-12 23:16:10,435.28,15.36,3.4,0,16.86,88.53719999999998
2025-08-12 23:16:20,435.28,15.36,3.4,0,16.86,88.53719999999998
2025-08-12 23:16:30,430.16,15.36,8.4,0,16.86,88.53719999999998
2025-08-12 23:16:40,435.28,15.36,2.4,0,16.86,88.53719999999998
2025-08-12 23:16:50,432.72,15.36,7.4,0,16.86,88.53719999999998
2025-08-12 23:17:00,432.72,15.36,2.4,0,16.86,88.53719999999998
2025-08-12 23:17:10,427.6,15.36,6.4,0,16.86,88.53719999999998
2025-08-12 23:17:20,419.92,15.36,5.4,0,16.86,88.53719999999998
2025-08-12 23:17:31,409.68,15.36,4.4,0,16.86,88.53719999999998
2025-08-12 23:17:41,427.6,15.36,5.4,0,16.86,88.53719999999998
2025-08-12 23:17:51,427.6,15.36,5.4,0,16.87,88.53719999999998
2025-08-12 23:18:01,414.8,15.36,7.4,0,16.87,88.53719999999998
2025-08-12 23:18:11,417.36,15.36,6.4,0,16.87,88.53719999999998
2025-08-12 23:18:21,427.6,15.36,6.4,0,16.87,88.53719999999998
2025-08-12 23:18:31,417.36,15.36,7.4,0,16.87,88.53719999999998
2025-08-12 23:18:41,417.36,15.36,6.4,0,16.87,88.53719999999998
2025-08-12 23:18:52,402.0,15.36,11.4,0,16.87,88.53719999999998
2025-08-12 23:19:02,404.56,15.36,8.4,0,16.87,88.53719999999998
2025-08-12 23:19:12,407.12,15.36,7.4,0,16.87,88.53719999999998
2025-08-12 23:19:22,394.32,15.36,7.4,0,16.87,88.53719999999998
2025-08-12 23:19:32,399.44,15.36,8.4,0,16.87,88.53719999999998
2025-08-12 23:19:42,399.44,15.36,6.4,0,16.87,88.53719999999998
2025-08-12 23:19:52,396.88,15.36,7.4,0,16.87,88.53719999999998
2025-08-12 23:20:02,402.0,15.36,8.4,0,16.87,88.53719999999998
2025-08-12 23:20:13,404.56,15.36,7.4,0,16.87,88.53719999999998
2025-08-12 23:20:23,417.36,17.92,20.8,0,16.88,88.53719999999998
2025-08-12 23:20:33,412.24,17.92,20.8,0,16.88,88.53719999999998
2025-08-12 23:20:43,412.24,17.92,18.8,0,16.88,88.53719999999998
2025-08-12 23:20:53,407.12,17.92,18.8,0,16.88,88.53719999999998
2025-08-12 23:21:03,404.56,23.04,4.6,0,16.88,88.53719999999998
2025-08-12 23:21:13,407.12,23.04,7.6,0,16.88,88.53719999999998
